Material;Material desc;Grupo art. Desc;Jerar;NEGOCIO desc;Tipo producto;Familia
142949;FRESA METAL CIL.RD. WRC 1020 D3P M6;LIMAS PFERD;"	CORTE METALES";SOLDADURA Y CORTE;;
142950;FRESA METAL GOTA TRE 1625 D3P M6;LIMAS PFERD;"	CORTE METALES";SOLDADURA Y CORTE;;
142964;FRESA METAL CÓ.PUNT.SKM 1020 D3P M6;LIMAS PFERD;"	CORTE METALES";SOLDADURA Y CORTE;Abrasivos;Fresa de metal
143000;PREFILTRO AIR PFP2 P2R PARTÍCULAS;RESPIRACION REUTILIZABLE;"	PROTECCION RESPIRATORIA";SEGURIDAD INDUSTRIAL;;
143002;FILTRO AIR F600VGP3 A1E1 P3R GA VO PART;RESPIRACION REUTILIZABLE;"	PROTECCION RESPIRATORIA";SEGURIDAD INDUSTRIAL;;
143003;FILTRO AIR F700P3 P3R PARTICULAS;RESPIRACION REUTILIZABLE;"	PROTECCION RESPIRATORIA";SEGURIDAD INDUSTRIAL;;
143006;JUNTA RIGIDA MFV 35/30-200 105893;ELECTRIFICACIONES;"	SISTEMAS DE LEVANTE";MANEJO DE CARGA;Accesorios y repuestos tecle;Junta de unión
143007;PUNTO DE ALIMENTACION CU 35/100 100620;ELECTRIFICACIONES;"	SISTEMAS DE LEVANTE";MANEJO DE CARGA;Accesorios y repuestos tecle;Punto de alimentación
143010;SECCION AISLAMIENTO LT 2/35-20-L 107 336;ELECTRIFICACIONES;"	SISTEMAS DE LEVANTE";MANEJO DE CARGA;;
143011;JUNTA DE EXPASION DV-SMDV35/100 100310;ELECTRIFICACIONES;"	SISTEMAS DE LEVANTE";MANEJO DE CARGA;Accesorios y repuestos tecle;Junta de expansión
143012;RIEL F35/100 ANTICORROSIVO X 6MT 100056;ELECTRIFICACIONES;"	SISTEMAS DE LEVANTE";MANEJO DE CARGA;;
143013;AISLADOR VDO35 PERNO LARGO FASE 0101580;ELECTRIFICACIONES;"	SISTEMAS DE LEVANTE";MANEJO DE CARGA;Accesorios y repuestos tecle;Aislador perno largo
143014;AISLADOR VDO35 PERNO LARGO TIERRA 101590;ELECTRIFICACIONES;"	SISTEMAS DE LEVANTE";MANEJO DE CARGA;Accesorios y repuestos tecle;Aislador perno largo
143056;VALV INSTR PARKER HPR801S4P10304;VALVULAS INSTRUMENTACION;"	INST.PARKER CPI";EMSESA;;
143057;VALV INSTR PARKER HPR802S4P20404;VALVULAS INSTRUMENTACION;"	INST.PARKER CPI";EMSESA;;
143065;ROLLO CABO NYLON NATURAL 20,0MM;CABO NYLON;"	CABOS SINTÉTICOS";MANEJO DE CARGA;;
143071;COLECTOR ALIMENTACION FASE GSV2 102200;ELECTRIFICACIONES;"	SISTEMAS DE LEVANTE";MANEJO DE CARGA;Accesorios y repuestos tecle;Tomacorrientes
143072;COLECTOR ALIMENTACION TIERRA GSV2 103980;ELECTRIFICACIONES;"	SISTEMAS DE LEVANTE";MANEJO DE CARGA;Accesorios y repuestos tecle;Tomacorrientes
143073;GRAMPA DE BLOQUEO SK 35 100560;ELECTRIFICACIONES;"	SISTEMAS DE LEVANTE";MANEJO DE CARGA;Accesorios y repuestos tecle;Grapa de bloqueo
143083;DISCO CORTE GP 4,5X3MM G30 3M;ABRASIVOS;"	CORTE METALES";SOLDADURA Y CORTE;Abrasivos;Disco de corte
143084;DISCO CORTE GP 7X3MM G30 3M;ABRASIVOS;"	CORTE METALES";SOLDADURA Y CORTE;Abrasivos;Disco de corte 
143085;DISCO CORTE GP 9X3MM G30 3M;ABRASIVOS;"	CORTE METALES";SOLDADURA Y CORTE;Abrasivos;Disco de corte
